, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Debt ratio %,-0.26142664406978167,-0.2599719085723466,-0.26473444537886376,-0.24546021242032254,-0.245606241737665,0.010397382140444743,-0.003906294869108131,-0.006174253182692915,-0.03321408486756806,-0.0011921298554666566,0.14383348737630805,-0.04516244450689545,-0.285009730461167,-0.059911032640202144,-0.009723614062845389,-0.24914641316405597,-0.24992503448619102,-0.24946272821373752,-0.1774289262850616,-0.1581174490989299,-0.019679131634361288,-0.07805585478705233,-0.1588969367525344,0.011461159595253973,-0.018100391513524328,-0.030239527403583377,-0.03051171631386716,-0.02520524888932059,-0.04919104500919013,0.05650779339415484,-0.0011001987597295218,-0.13427607934261818,-0.015860454640592582,0.03341016283179234,0.02319589867815293,-0.05404949287666905,1.0,-0.9999999999999993,-0.010523054859859313,0.32910927456739913,0.05886221759406808,-0.07725010237332124,-0.1641104640434441,0.4178679987885753,0.23745791785727732,0.02992428805198877,0.006061846877364925,-0.04362888940840287,-0.010257931817476878,0.4361604990403833,0.037411693718688015,0.007547220022713998,0.010320911043946111,-0.5287969894967377,-0.08423213596371999,0.10996423035563432,-0.35760540905900134,0.03945479735714319,0.0828043490051006,0.842583028070925,-0.33342917894984936,0.0020637284980159786,0.0269337092028021,-0.08232240849950506,-0.10500763460442522,0.34369239974530896,-0.006936462108871469,-0.23542339805174656,-0.02799487342039113,0.03751338006308107,0.12487950997131496,0.20337018413514435,-0.031715380080519356,0.13893358476269987,-0.018201161998925863,0.023417889873770036,-0.08232240849950506,0.34369239974530896,0.24497414060152525,-0.06650222490628363,-0.07698264467310073,-0.268159411094833,-0.003177835971761659,0.4281799660988809,0.20315482971582294,-0.281422293318387,0.04105462652727267,-0.05021761641739612,-0.24546113228878055,-0.12398605268046296,0.34925009123273265,0.017981627947891425,0.012571318357871505,,-0.6258790580947202
 Net worth/Assets,0.26142664406978455,0.25997190857234903,0.2647344453788664,0.24546021242032184,0.24560624173766468,-0.010397382140444878,0.003906294869107903,0.006174253182692752,0.033214084867567946,0.0011921298554664929,-0.14383348737630733,0.045162444506901496,0.28500973046116546,0.05991103264020353,0.009723614062846157,0.24914641316406202,0.24992503448619613,0.24946272821374302,0.17742892628506576,0.15811744909893288,0.019679131634360466,0.0780558547870562,0.15889693675253858,-0.0114611595952544,0.01810039151352395,0.03023952740358363,0.030511716313867416,0.025205248889321203,0.04919104500918988,-0.05650779339415466,0.0011001987597294917,0.13427607934261895,0.015860454640592242,-0.033410162831793544,-0.023195898678153363,0.05404949287666805,-0.9999999999999993,1.0,0.010523054859860178,-0.3291092745673983,-0.058862217594068296,0.07725010237332512,0.1641104640434484,-0.41786799878857295,-0.23745791785727116,-0.02992428805198976,-0.006061846877365635,0.043628889408399735,0.010257931817473271,-0.4361604990403784,-0.03741169371868768,-0.007547220022715154,-0.010320911043945726,0.5287969894967407,0.08423213596372911,-0.10996423035563052,0.3576054090590058,-0.039454797357143724,-0.08280434900510199,-0.8425830280709207,0.333429178949849,-0.0020637284980164665,-0.026933709202800724,0.08232240849950763,0.10500763460442691,-0.34369239974530813,0.006936462108871059,0.23542339805174772,0.02799487342039153,-0.03751338006308034,-0.12487950997131543,-0.20337018413514682,0.03171538008051929,-0.13893358476269943,0.018201161998926033,-0.02341788987377038,0.08232240849950763,-0.34369239974530813,-0.24497414060152473,0.0665022249062859,0.07698264467310104,0.2681594110948347,0.0031778359717630727,-0.42817996609888215,-0.2031548297158221,0.28142229331839025,-0.04105462652727249,0.05021761641739595,0.24546113228878064,0.12398605268046306,-0.3492500912327324,-0.01798162794789231,-0.01257131835787142,,0.6258790580947164
 Long-term fund suitability ratio (A),0.0029673790751852205,0.020707080894729335,0.0038685563374049763,0.0060195962198158716,0.006189410426875718,-0.0008331257950991732,-0.0019067957615358077,-0.0012274472528098575,-0.0018092871209458219,-0.0001869964280365011,0.008989692872319151,-0.04701366479789573,0.03830810457239514,0.0022451154593281543,-0.012952159703421949,0.05225371961649404,0.05224539767714033,0.05213723523681197,0.052177849361221565,-0.03096431630453559,0.1281493268635093,0.04327322238828495,0.047934781099348754,0.0012476328557921939,0.0016544362622089566,0.0032400433930995978,0.003390022107619527,0.000963646584493354,-0.0339257250222364,-0.0019143860882405292,0.002237357004796658,-0.04747755213105763,0.0001176711383729178,0.0010126413266876874,-0.007224175075703894,0.030256422743051372,-0.010523054859859313,0.010523054859860178,1.0,-0.0006842039665122415,0.001385306932351655,0.04329760847522934,0.04983151629433425,0.04834918454144448,0.045882645328716616,0.0071669581578580055,0.023772236304124304,-0.04027208486092344,-0.0486314921689462,0.02383860862025914,-0.002325515782931438,0.17872026369526095,0.3429249993049146,0.07789078372629389,0.04082097818988984,0.1045176269390597,0.05284491262132317,-0.001739568177724831,0.013863817965305702,0.03664857983745158,0.02611691116457262,0.0009358528276088044,0.0003669061906280717,0.0744284263310613,0.03166672522299491,0.013201272836579984,-0.00399237601380846,0.010451267627576985,0.05258602688250856,-0.018442889505069067,0.015571853335933966,-0.0016522974990787595,0.03163692337252535,-0.014006218219004328,0.008498778092009315,0.39370488232786865,0.0744284263310613,0.013201272836579984,-0.021715880696382587,0.027431746549628724,0.05251672393566636,-0.03175786940698536,0.011581559694148593,-0.02160777930777936,-0.00583307573610431,0.016565639084824654,-0.0035889619880211535,0.0033891943751927843,0.006020009824765199,0.008678561243057067,0.001791149345342023,-0.004318884415036745,-0.00034242050991290505,,0.10434428966835128
 Borrowing dependency,-0.16167147770471701,-0.16186813000085984,-0.1586183471376385,-0.08573286452920723,-0.08559799264984401,0.00109239246679135,-0.004654382747171951,-0.0043946767746025515,-0.012037393724953376,-0.0028870999409880585,0.023977296352161857,-0.045528599154733194,-0.07876296661329252,-0.0017287331882570554,-0.05317733289796251,-0.12399056651130991,-0.12532075118755526,-0.1251876728656048,-0.14413818173810267,-0.09919821388574793,0.001180975776463842,-0.10713453645561767,-0.1421380773635774,-0.004898088833390099,0.002008655928899442,-0.012188434801569633,-0.012109164382951896,-0.007715205749381659,-0.01935437725447153,-0.07794187542789612,-0.00972038016290769,-0.18544584652757978,-0.002541783325677585,0.016767161631126775,0.007844458872587131,-0.008079808701994297,0.32910927456739913,-0.3291092745673983,-0.0006842039665122415,1.0,0.45173747557656263,-0.10472138204961115,-0.13492414346472253,0.7001385729971366,-0.006443005340808572,0.03411302132265388,0.0037978373012063217,0.010202666823883388,0.02523236646479662,0.17733725246329635,0.029948994628311805,-0.009384918613550676,-0.0046405844291623225,-0.19255421892503466,-0.09556779922538165,-0.01777013352911003,-0.12641883280751268,-0.06792960684409964,0.041093759018291307,0.22982526597229458,-0.09324769968357789,0.003150602366488009,0.007702114231811918,-0.0755942233417537,-0.5357136503914642,0.8927718551578725,-0.007554487959891765,-0.11791255670610666,-0.00701551932999685,0.022641627604420705,0.028853601790218977,0.06347262521546769,-0.004406243468533895,0.004607858857708763,-0.00047560453224323914,0.015588433011290231,-0.0755942233417537,0.8927718551578725,0.8068892480541348,-0.026453095576035087,-0.022184783743040535,-0.11762375913801355,-0.19354336534402497,0.1249078813991599,-0.25970202761877187,-0.17778113319507577,0.011083021629927393,-0.004183304342367913,-0.08573232313406302,-0.8064782406650229,0.9558567721071973,0.0072600403149919186,0.0017761388893950023,,-0.1460120484754293
 Contingent liabilities/Net worth,-0.03572911507350406,-0.03618321242173095,-0.034177373657443375,-0.022257878187606207,-0.022238678816214243,0.0002465425764927764,0.0022215426998131826,0.0021173979928714435,0.003873282803263915,0.0021658301345611358,0.010618016825934551,-0.012449025436203643,-0.009770984964746437,-0.0027917734901537856,-0.012504246174467305,-0.028405927666599707,-0.028915081385019206,-0.028923399355897356,-0.05396193181093918,-0.009521362591382494,0.004572825914895061,-0.05662564206932399,-0.04723388142728326,-0.0014835068898745019,-0.0027082161693295654,-0.004558247906485431,-0.004273727629547366,-0.001580387781205514,-0.001136359712697815,-0.0015837159618799245,-0.0040141337410476334,-0.006770515692505835,0.004485181230714783,-0.0012241086774696748,-7.441307410107676e-05,-0.0012688115044843914,0.05886221759406808,-0.058862217594068296,0.001385306932351655,0.45173747557656263,1.0,-0.056837230279226506,-0.04942409763967592,0.07719953561725838,0.02065891229216879,0.04869081967248953,-0.0003726053073626073,-0.014864246965049026,-0.006061481090589299,0.092726095637394,-0.0008414970628743007,-0.02413301948685992,0.005205885134260009,-0.06587897775191906,-0.015814019394571763,-0.028116785315021733,-0.01924504240407134,-0.0009416515976346643,0.011086866895821619,0.04928329346252416,-0.011000471161640216,-0.0011423171073351047,-0.0007784986018200856,-0.004682578023133155,-0.7677780748222719,0.6229048700161293,-0.0015120676693199688,-0.021729293661091068,-0.00020242269535981837,-0.00740422999979504,0.0019406255455026171,0.0009549994273260067,0.0011007574874288308,-0.0003514467651567887,0.0005408774138298359,-0.0005986379648065614,-0.004682578023133155,0.6229048700161293,0.4628583544884792,-0.01353275518816373,-0.004789669897941956,-0.011930669457331403,-0.295827014262252,0.08423123536641786,-0.005567454947388562,-0.03782150426679785,-0.002446338410095297,0.0015314574589648825,-0.02225825955209006,-0.352618014731277,0.6218076726377983,-0.0010614784251170844,-0.0006199019281256583,,-0.018260147729724015
 Operating profit/Paid-in capital,0.6850284901154945,0.651581054191073,0.6572744889014889,0.26741096253594376,0.2664831677499957,0.02215996381543357,0.026090878531717914,0.02394150198610106,-0.0014727417610757635,0.024295306366769343,0.07197213893159243,0.06714327142123716,0.19172314295643778,0.016197508470873655,0.19741924433073085,0.6030239232971486,0.6023668829380061,0.6022772638355182,0.8736405203664438,0.4651021295641016,-0.014768104879235338,0.9986961505784385,0.8583102552070088,-0.0025166761013907238,0.027680193780925934,0.06687030411975585,0.06655212927798615,0.012001749902127845,-0.03897824954790947,-0.022704974150447494,0.052078291851889134,0.2036032749424044,-0.0009934386044857465,0.0008158793776600521,-2.8104183941402163e-05,-0.013835481131000698,-0.07725010237332124,0.07725010237332512,0.04329760847522934,-0.10472138204961115,-0.056837230279226506,1.0,0.8873704466151631,0.020420692045185023,0.2814354417781187,-0.019352721050359387,0.0031849722964692622,-0.047084283404671905,-0.11853101714567962,0.14256125964140176,-0.009861340075468277,0.3662149716032217,-0.008026532302548971,0.2646165345375766,0.26609044660811665,0.2594105187561326,0.2357668189093624,-0.007146865926452711,-0.023862227231545206,-0.0028938519430179535,0.2452983653556854,-0.003727466006429612,0.038217205232876944,0.1353853061918379,0.12499559889765927,-0.05316865606496984,0.02279437125210871,0.41386943936407194,0.015656794435835855,-0.06948772665220428,0.008815467296795458,-0.0004330274065675903,-0.00033248510703045106,-0.012464428450733936,0.0052057156378007095,-0.006722723579053473,0.1353853061918379,-0.05316865606496984,-0.094417216326357,0.2163780841386563,0.11742103034129599,0.3378722656158707,0.13242516029746562,-0.1442308664911053,-0.04644704220450716,0.5758330848156774,-0.03240293594874072,0.0009748803051607797,0.2674121647790602,0.18114966360654777,-0.0753738651203473,-0.01605157752243737,0.006258037140318704,,-0.009527658084798664
 Net profit before tax/Paid-in capital,0.7533388791546751,0.75823389786495,0.7260029658873253,0.24810434265088718,0.2462561707488606,0.020014970599614556,0.03389953073784242,0.03056776609001286,0.019483442760729087,0.030334278051629738,0.08292325750313295,0.06954474156038513,0.18661942405919474,0.05497243741795206,0.20989788802850723,0.7066457210909582,0.7058002754848263,0.7056210180523377,0.9594608424800604,0.44581742948491815,-0.01146253487090344,0.8861573968367282,0.9627228889556713,-0.00267392761621356,0.02799717951812786,0.0880742555527989,0.08825546953539205,0.025102979831856016,-0.028556600731288063,-0.038360611995374834,0.06205426026580234,0.1586749159397427,0.010725527533291439,-0.006860904798489554,-0.0013464650477931159,-0.008574656003457961,-0.1641104640434441,0.1641104640434484,0.04983151629433425,-0.13492414346472253,-0.04942409763967592,0.8873704466151631,1.0,-0.030407633773474444,0.22110493312293636,-0.01799268411359324,0.0054254417485787455,-0.07381530272726355,-0.13409644077023603,0.07837330922592257,-0.013189249045676362,0.33366025480433015,-0.008584202728368065,0.24582108004884484,0.22263862769918208,0.1784094920342624,0.22836485952027602,-0.007288333636627958,-0.03531358555092895,-0.08602149742199271,0.23319228211697599,-0.0026154309368101986,0.036318369780898356,0.10248696299648201,0.11560467363361955,-0.08381871068557153,0.022192820674975917,0.48335480768754646,0.02375433233894966,-0.17481485795109367,0.008197806536554718,-0.023197059522398002,0.0018245475069624682,-0.031204214190627536,0.00686447405113179,-0.006716405235597975,0.10248696299648201,-0.08381871068557153,-0.1119743179731343,0.21867286110445278,0.12251490509133627,0.31899060817726244,0.13091626827189803,-0.15371863098149804,-0.10998080490492615,0.6836228193425018,-0.029307972726396105,0.007938523201584377,0.24810554475504393,0.2156903089102702,-0.10414902768831398,-0.01835795635485198,0.008171550832285003,,0.031292309212462135
 Inventory and accounts receivable/Net value,-0.10988801464573945,-0.07858528839870778,-0.1095005609448352,-0.08672048944727456,-0.08676179126252222,0.01199348191426227,0.009042030941623187,0.008992940050862704,-0.011026567662093641,0.008243240370430413,0.07974650676421431,-0.047222258803863354,-0.12548391982678211,0.03548624860727667,0.027022438159425632,-0.08939645073174184,-0.08999196920963785,-0.08977662726634725,-0.03798592327748155,-0.12550769511355991,-0.009710988579079703,0.020064401346317883,-0.0316132236605936,0.0181327459762338,0.005846523699421974,-0.00567305075787103,-0.005826774089320484,-0.0063689632767712275,-0.045200240749005374,-0.012109107318882007,0.0074718101068859885,-0.19589862647017264,-0.007975346063450706,0.03714128052696872,0.0055074547944380615,-0.008896086270266277,0.4178679987885753,-0.41786799878857295,0.04834918454144448,0.7001385729971366,0.07719953561725838,0.020420692045185023,-0.030407633773474444,1.0,0.2430569812923192,0.042551681900034784,0.010939927465433371,0.002018525813579298,-0.12401925086606289,0.453423808384915,0.005264655804982527,0.11805854418801476,0.01459225346590566,-0.002127773152865242,0.10020143456303585,0.33754695884247116,-0.13567446332520774,0.01524891124423392,0.05040022495784532,0.4523210404532174,-0.13077813649440304,0.008686641053915756,-0.012448836481212932,0.14918659432233022,0.04018751509540639,0.6618050188146193,0.017873203298980324,-0.06406676450410202,-0.010417099037394986,0.03705472971027517,0.041233121812171813,0.11278657944612826,-0.0005938457071239391,0.04939337794937228,0.0034588518750655085,0.0352814223515996,0.14918659432233022,0.6618050188146193,0.4860970679009861,-0.025453204551255562,-0.023877065182093878,-0.16802848154013023,-0.15992005169449328,0.027166400873411392,-0.2044995354903103,-0.09477034053863029,0.027074226700713314,-0.021708566044722002,-0.08671988049425687,-0.42223823223018253,0.6703725935391492,-0.006647342760954998,0.006764161703353853,,-0.20518316809398823
 Total Asset Turnover,0.21062225533830098,0.22352765921308052,0.19480995007156535,-0.09966094703987974,-0.10014147032642329,0.029456333137920742,0.02966697441912977,0.029503860022627747,-0.01205722359841853,0.027711026965668933,0.19506332522432718,0.01349757038137075,-0.05797840778809419,0.008551461202243933,0.19363637221831437,0.08202612484710875,0.08267362172217826,0.0824337705626157,0.21470981312551826,0.052539124031860424,-0.03597967960320122,0.28259079343435867,0.23032479266849087,0.09685602625995882,0.04408763179978723,0.05972415749512312,0.060222854348396734,-0.0002154998310053702,-0.07239328357233131,-0.0065322544642389445,0.041372044127002315,0.055908793504010734,-0.015340874147556036,-0.03777041714067879,-0.0026190867402494933,-0.027846578459974715,0.23745791785727732,-0.23745791785727116,0.045882645328716616,-0.006443005340808572,0.02065891229216879,0.2814354417781187,0.22110493312293636,0.2430569812923192,1.0,-0.06022932194653551,0.004841232162027598,-0.15229829546931625,-0.2994308263032388,0.7574139480175852,-0.02383569786428611,0.06132970056320202,0.03508418572012565,0.21115607875480527,0.4689556747926938,0.49740527914049565,0.10806421434695682,-0.01838950522974326,-0.04797560343094003,0.38442848030114785,-0.030659915050084044,-0.021439463940213687,-0.013637829288421338,0.3219934905172589,0.10083201665259071,0.12425701796189459,0.018985276963548847,0.1243204463659857,-0.014172086402804377,0.1713857996306956,0.35382629063527965,0.25255836224792555,-0.006441721432229109,0.06072172572025577,0.007063980689638109,-0.016058988448264786,0.3219934905172589,0.12425701796189459,-0.02065492055238365,0.09313072779186106,0.037509470373966354,0.018741063682400912,0.05202350327831731,-0.08729721618691841,0.012599009373147984,0.18877377804729892,0.041944210512457884,0.007536497441307634,-0.0996614495064629,0.04124222575930737,0.08424282787445309,-0.020768906236497804,0.019357805805076317,,-0.1984853202936262
 Accounts Receivable Turnover,-0.033946612694145846,-0.03126219106768774,-0.033768193900556354,0.08234204494961087,0.08247887208246768,-0.023170708742232465,0.0895762521001215,0.07991980623042744,0.23689692641891685,0.10060359147592002,-0.02833072957701767,-0.0345076662880705,0.00590405798524783,-0.006983269677070074,-0.019968395294183625,-0.018647304519748702,-0.019674542310327715,-0.019724461632411018,-0.019997489819607164,-0.020617569032555245,0.26434561993395955,-0.019499760123281234,-0.02004548118633335,-0.0006301240286557773,-0.025684477724507524,-0.019194513846110955,-0.019103395845621797,-0.002989101422040742,-0.030866192894683828,-0.000630685178857136,-0.01129124541768553,-0.018598417964313968,-0.0005566899065684493,-0.0015737448066971054,-0.001306514609031147,0.008627417487481666,0.02992428805198877,-0.02992428805198976,0.0071669581578580055,0.03411302132265388,0.04869081967248953,-0.019352721050359387,-0.01799268411359324,0.042551681900034784,-0.06022932194653551,1.0,-0.0017620240079663212,-0.013200579851168454,-0.0017087821550519717,-0.03207130626992201,0.03239827379492408,-0.020482733187108006,-0.0017569318543799823,-0.04097090925512829,0.009706088717333344,-0.006895585596608545,-0.017054046006669602,-0.0009623851177322802,0.03691244871582503,0.044753595149151455,-0.005031581639418068,0.23519620885587603,0.048829274508491206,0.012795381566877857,-0.015012051925425032,0.03332222331214609,-0.0018594813878746613,-0.01667752217150497,-0.0006838007971028828,-0.018303297724862114,-0.019486085119127094,-0.029472108309935234,0.07472748507069592,-0.02250836273729257,0.05266751770025072,-0.0005566899309758548,0.012795381566877857,0.03332222331214609,-0.008363764424656873,0.012485580811261015,0.02265065386788921,-0.02665871662052168,0.00533118164126364,0.0212185032623634,-0.0015753657857483158,-0.025062416935572946,0.11373088601886987,0.004029852391660105,0.08234257918422515,-0.006587045301727078,0.02375347897816151,-0.0021111245281714547,-0.000497284855502013,,0.010628789687348452
